#================================================================#
# SMARTS2 -- Algorithms and performance assessment               #
#================================================================#
#
# APPENDIX: Extraterrestrial spectrum and absorption coefficients
#           at their reference temperature
#
# λ      E0nλ       Awλ        Aoλ      Anλ  
753    1.2650   1.16E-07   8.99E-03    0.000
754    1.2646   3.65E-07   8.47E-03    0.000
755    1.2629   1.57E-06   8.03E-03    0.000
756    1.2613   9.31E-09   7.63E-03    0.000
757    1.2570   0.00E+00   7.31E-03    0.000
758    1.2501   0.00E+00   7.05E-03    0.000
759    1.2432   0.00E+00   6.85E-03    0.000
760    1.2389   0.00E+00   6.67E-03    0.000
761    1.2386   0.00E+00   6.54E-03    0.000
762    1.2370   0.00E+00   6.69E-03    0.000
763    1.2315   0.00E+00   7.02E-03    0.000
764    1.2246   0.00E+00   6.94E-03    0.000
765    1.2205   0.00E+00   6.86E-03    0.000
766    1.2176   0.00E+00   6.78E-03    0.000
767    1.2121   0.00E+00   6.70E-03    0.000
768    1.2053   0.00E+00   6.73E-03    0.000
769    1.2020   0.00E+00   6.75E-03    0.000
770    1.2040   0.00E+00   6.77E-03    0.000
771    1.2050   0.00E+00   6.90E-03    0.000
772    1.2070   0.00E+00   7.06E-03    0.000
773    1.2090   5.29E-08   7.25E-03    0.000
774    1.1990   8.53E-08   7.52E-03    0.000
775    1.1890   8.49E-08   7.85E-03    0.000
776    1.1930   8.44E-08   8.13E-03    0.000
777    1.1970   5.18E-08   8.31E-03    0.000
778    1.1920   3.56E-07   8.43E-03    0.000
779    1.1900   4.62E-07   8.47E-03    0.000
780    1.1906   2.37E-07   8.38E-03    0.000
781    1.1891   2.31E-07   8.15E-03    0.000
782    1.1863   4.55E-07   7.88E-03    0.000
783    1.1861   4.53E-07   7.50E-03    0.000
784    1.1858   4.51E-07   7.09E-03    0.000
785    1.1843   1.40E-05   6.67E-03    0.000
786    1.1815   3.14E-05   6.34E-03    0.000
787    1.1780   3.48E-04   6.09E-03    0.000
788    1.1760   6.03E-04   5.83E-03    0.000
789    1.1750   1.09E-03   5.57E-03    0.000
790    1.1670   2.34E-03   5.37E-03    0.000
791    1.1590   1.17E-03   5.16E-03    0.000
792    1.1580   1.04E-03   4.93E-03    0.000
793    1.1570   1.21E-03   4.74E-03    0.000
794    1.1560   8.13E-05   4.55E-03    0.000
795    1.1550   2.69E-04   4.39E-03    0.000
796    1.1540   2.03E-03   4.29E-03    0.000
797    1.1530   1.74E-03   4.22E-03    0.000
798    1.1440   4.10E-04   4.17E-03    0.000
799    1.1360   6.68E-04   4.09E-03    0.000
800    1.1390   1.16E-03   4.00E-03    0.000
801    1.1430   1.43E-03   3.97E-03    0.000
802    1.1360   1.25E-03   3.96E-03    0.000
803    1.1300   1.57E-03   3.95E-03    0.000
804    1.1230   1.32E-03   3.96E-03    0.000
805    1.1160   7.69E-04   4.02E-03    0.000
806    1.1180   2.75E-04   4.10E-03    0.000
807    1.1210   3.92E-04   4.22E-03    0.000
808    1.1160   3.15E-04   4.40E-03    0.000
809    1.1100   7.23E-04   4.61E-03    0.000
810    1.1050   1.36E-03   4.82E-03    0.000
